id,window_time,action_stats,age_stats,gender_stats,province_stats,avg_delay,created_at
5865,2025-06-28 17:32:20,"{""0"": 2}","{""3"": 1, ""5"": 1}","{""1"": 1, ""2"": 1}","{""江苏"": 1, ""浙江"": 1}",-8188060.4,2025-06-28 17:32:21
5866,2025-06-28 17:32:20,"{""0"": 4}","{""0"": 1, ""3"": 1, ""4"": 1, ""7"": 1}","{""0"": 1, ""1"": 2, ""2"": 1}","{""吉林"": 1, ""安徽"": 2, ""福建"": 1}",-6330458.61,2025-06-28 17:32:21
5867,2025-06-28 17:32:20,"{""0"": 9, ""3"": 1}","{""0"": 1, ""2"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2}","{""0"": 3, ""1"": 4, ""2"": 3}","{""台湾"": 1, ""广西"": 1, ""江苏"": 1, ""河南"": 1, ""湖北"": 1, ""澳门"": 1, ""贵州"": 1, ""内蒙古"": 1, ""北京市"": 1, ""黑龙江"": 1}",-4101337.81,2025-06-28 17:32:23
5868,2025-06-28 17:32:20,"{""0"": 10}","{""0"": 1, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 2}","{""0"": 4, ""1"": 4, ""2"": 2}","{""云南"": 1, ""安徽"": 1, ""山东"": 2, ""山西"": 1, ""广东"": 1, ""江苏"": 1, ""西藏"": 1, ""辽宁"": 1, ""香港"": 1}",-8213976.62,2025-06-28 17:32:23
5869,2025-06-28 17:32:20,"{""0"": 4, ""2"": 1}","{""0"": 1, ""1"": 1, ""4"": 1, ""6"": 1, ""7"": 1}","{""0"": 1, ""1"": 1, ""2"": 3}","{""宁夏"": 1, ""安徽"": 1, ""广东"": 1, ""河北"": 1, ""陕西"": 1}",-11255256.61,2025-06-28 17:32:24
5870,2025-06-28 17:32:20,"{""0"": 1}","{""7"": 1}","{""1"": 1}","{""河北"": 1}",-8144853.63,2025-06-28 17:32:26
5871,2025-06-28 17:32:20,"{""0"": 6}","{""0"": 2, ""1"": 2, ""7"": 2}","{""0"": 5, ""1"": 1}","{""云南"": 1, ""安徽"": 1, ""山西"": 1, ""广西"": 1, ""内蒙古"": 1, ""黑龙江"": 1}",-10650453.62,2025-06-28 17:32:26
5856,2025-06-28 17:32:10,"{""0"": 10}","{""0"": 3, ""1"": 1, ""4"": 3, ""5"": 2, ""7"": 1}","{""0"": 2, ""1"": 5, ""2"": 3}","{""台湾"": 1, ""四川"": 2, ""山西"": 1, ""河北"": 1, ""海南"": 2, ""甘肃"": 1, ""北京市"": 1, ""黑龙江"": 1}",-11255268.63,2025-06-28 17:32:11
5857,2025-06-28 17:32:10,"{""0"": 9}","{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 3}","{""0"": 2, ""1"": 3, ""2"": 4}","{""云南"": 1, ""山东"": 1, ""广东"": 1, ""江西"": 1, ""西藏"": 1, ""陕西"": 1, ""香港"": 2, ""上海市"": 1}",-11255268.4,2025-06-28 17:32:13
5858,2025-06-28 17:32:10,"{""0"": 10}","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 3}","{""0"": 5, ""1"": 2, ""2"": 3}","{""云南"": 1, ""宁夏"": 1, ""江苏"": 1, ""江西"": 1, ""河北"": 2, ""河南"": 1, ""湖北"": 1, ""北京市"": 1, ""重庆市"": 1}",-11255266.62,2025-06-28 17:32:13
